sample_id,ok,fp32_gpu_mae_db,fp32_gpu_ms_avg,fp32_gpu_ms_max,fp32_gpu_ms_min,fp32_gpu_rmse_db,int8_dsp_mae_db,int8_dsp_ms_avg,int8_dsp_ms_max,int8_dsp_ms_min,int8_dsp_rmse_db,int8_dsp_speedup_vs_fp32_gpu,int8_dsp_speedup_vs_int8_gpu,int8_dsp_vs_fp32_mae_db,int8_dsp_vs_fp32_max_abs_db,int8_dsp_vs_fp32_rmse_db,int8_dsp_vs_gpu_mae_db,int8_dsp_vs_gpu_max_abs_db,int8_dsp_vs_gpu_rmse_db,int8_gpu_mae_db,int8_gpu_ms_avg,int8_gpu_ms_max,int8_gpu_ms_min,int8_gpu_rmse_db,int8_gpu_vs_fp32_mae_db,int8_gpu_vs_fp32_max_abs_db,int8_gpu_vs_fp32_rmse_db
166_k0,True,1.4915146827697754,328.2770109944977,328.2770109944977,328.2770109944977,2.461911931958122,2.94244384765625,77.80101400567219,77.80101400567219,77.80101400567219,4.7054549114258775,4.2194438618828825,3.6084783674081367,2.4878556728363037,22.118179321289062,4.2097086906433105,2.5063154697418213,21.7427978515625,4.201681613922119,1.4971541166305542,280.74327600188553,280.74327600188553,280.74327600188553,2.4814431026468418,0.11691561341285706,1.1761932373046875,0.14856372773647308
166_k1,True,2.664663314819336,290.3871680027805,290.3871680027805,290.3871680027805,3.6955527616627797,3.1808173656463623,77.06728600896895,77.06728600896895,77.06728600896895,4.484555337184014,3.767969303719685,3.7158682991721914,2.178011894226074,26.948089599609375,3.575782537460327,2.100917339324951,26.822967529296875,3.503589391708374,2.630095958709717,286.37188498396426,286.37188498396426,286.37188498396426,3.664086966036387,0.132405087351799,1.9207077026367188,0.17781366407871246
373_k0,True,3.0558643341064453,291.0449740011245,291.0449740011245,291.0449740011245,4.367342105101028,3.8926219940185547,97.93356200680137,97.93356200680137,97.93356200680137,5.455838203402753,2.971861413362171,2.983584983443759,1.7426321506500244,24.045135498046875,2.9257657527923584,1.7259677648544312,24.6207275390625,2.9098262786865234,3.0390357971191406,292.1931049786508,292.1931049786508,292.1931049786508,4.353711677884229,0.11661321669816971,1.6986083984375,0.1638304889202118
373_k1,True,3.192147731781006,284.40228998078965,284.40228998078965,284.40228998078965,4.4912649783047405,3.9081335067749023,75.80879901070148,75.80879901070148,75.80879901070148,5.456053726144313,3.751573612723271,3.9885135753802494,1.8348942995071411,25.021133422851562,3.0501105785369873,1.8248581886291504,25.021133422851562,3.0352463722229004,3.1978704929351807,302.36442398745567,302.36442398745567,302.36442398745567,4.510555180044532,0.10669536888599396,1.4765090942382812,0.14226271212100983
464_k0,True,3.3498036861419678,306.76916701486334,306.76916701486334,306.76916701486334,5.251162082487336,4.139153957366943,78.43418398988433,78.43418398988433,78.43418398988433,6.108681876042925,3.9111666802631286,3.9967991512848102,2.3688390254974365,26.34748077392578,3.999234199523926,2.4599504470825195,25.671798706054688,4.048404216766357,3.4349889755249023,313.48568000248633,313.48568000248633,313.48568000248633,5.37158378446391,0.18749405443668365,1.2575225830078125,0.24264492094516754
464_k1,True,2.978053092956543,298.3500460104551,298.3500460104551,298.3500460104551,4.605441001957333,3.571169853210449,79.27863899385557,79.27863899385557,79.27863899385557,5.478545565871839,3.763309383169135,3.540625287971065,2.220633029937744,22.143203735351562,3.799354314804077,2.2888331413269043,22.01807403564453,3.8289148807525635,3.07033371925354,280.69595401757397,280.69595401757397,280.69595401757397,4.731278921061602,0.16559715569019318,1.4139404296875,0.2051052302122116
666_k0,True,0.7295938730239868,280.4481179919094,280.4481179919094,280.4481179919094,1.5470066207221305,2.921337366104126,74.85259699751623,74.85259699751623,74.85259699751623,4.583061603236161,3.746671848956894,3.8582084334135174,2.8410425186157227,22.218276977539062,4.4201765060424805,2.846107006072998,22.093154907226562,4.4262309074401855,0.7384716868400574,288.79692099872045,288.79692099872045,288.79692099872045,1.5541758246403412,0.07238037139177322,0.8367919921875,0.0958535447716713
666_k1,True,0.9136823415756226,296.5607719961554,296.5607719961554,296.5607719961554,1.8563836662897262,2.581599712371826,79.30075700278394,79.30075700278394,79.30075700278394,4.471657400748404,3.7396966082649663,3.6512899113096684,2.5165023803710938,21.8428955078125,4.3439860343933105,2.5472278594970703,21.64269256591797,4.33093786239624,0.9264324903488159,289.55005400348455,289.55005400348455,289.55005400348455,1.8623529516966206,0.10245116055011749,1.0291671752929688,0.13347971439361572
660_k0,True,1.4422708749771118,287.03123301966116,287.03123301966116,287.03123301966116,2.7508566995818815,2.4135022163391113,80.14279100461863,80.14279100461863,80.14279100461863,4.2728221945484215,3.581497841809871,3.788911306801743,2.030608654022217,25.246360778808594,4.019067287445068,2.020573139190674,25.146255493164062,4.004615306854248,1.4134767055511475,303.65392699604854,303.65392699604854,303.65392699604854,2.7120138444631534,0.09521547704935074,1.5124740600585938,0.15655426681041718
660_k1,True,1.4049047231674194,306.2994600040838,306.2994600040838,306.2994600040838,2.510969794872192,2.104839563369751,74.94385397876613,74.94385397876613,74.94385397876613,3.8165576791541547,4.087052423149572,4.189499383219063,1.6718543767929077,23.019088745117188,3.6483142375946045,1.6227121353149414,22.518585205078125,3.5857150554656982,1.4062663316726685,313.97723002010025,313.97723002010025,313.97723002010025,2.485393675201907,0.10999218374490738,2.227264404296875,0.16047677397727966
103_k0,True,1.1168594360351562,310.20395501400344,310.20395501400344,310.20395501400344,2.2902471712143053,3.1410558223724365,76.46575599210337,76.46575599210337,76.46575599210337,4.817315206898164,4.056769608686511,4.117417658659515,2.558743953704834,21.417465209960938,4.250524044036865,2.5679423809051514,21.092132568359375,4.230204105377197,1.1290878057479858,314.84145400463603,314.84145400463603,314.84145400463603,2.308521353527223,0.1049371212720871,1.3873519897460938,0.13546863198280334
103_k1,True,1.3562768697738647,298.4322959964629,298.4322959964629,298.4322959964629,2.58425830360799,3.430518627166748,76.58634800463915,76.58634800463915,76.58634800463915,5.141963517797397,3.8966774597789366,3.7395136919702217,2.7201802730560303,21.442489624023438,4.53302526473999,2.7245101928710938,21.292335510253906,4.506740093231201,1.390271544456482,286.3956969813444,286.3956969813444,286.3956969813444,2.65139776110365,0.1283411979675293,1.2324981689453125,0.16324172914028168
683_k0,True,0.7951061129570007,292.62924098293297,292.62924098293297,292.62924098293297,1.8648323304841892,3.1129508018493652,75.32571500632912,75.32571500632912,75.32571500632912,4.7681633864705315,3.8848518193069297,4.214922128084647,2.944099187850952,22.443511962890625,4.5320024490356445,2.947885036468506,22.243301391601562,4.531052112579346,0.7945178151130676,317.4920229939744,317.4920229939744,317.4920229939744,1.8489427664374583,0.08036766946315765,0.9009170532226562,0.11388994753360748
683_k1,True,2.2393648624420166,321.3591089879628,321.3591089879628,321.3591089879628,3.137783758090513,3.027989625930786,75.86779200937599,75.86779200937599,75.86779200937599,4.361676227431313,4.235777798149816,3.951496821760781,1.844724178314209,28.799972534179688,3.3134820461273193,1.7433441877365112,28.224395751953125,3.253890037536621,2.196519136428833,299.7913389990572,299.7913389990572,299.7913389990572,3.078664974350407,0.1951824128627777,1.43896484375,0.22699271142482758
81_k0,True,1.796049952507019,291.09399500885047,291.09399500885047,291.09399500885047,3.2530421177752267,3.2699055671691895,77.28188901091926,77.28188901091926,77.28188901091926,5.106714144918448,3.7666521708303664,3.8563729462757284,2.504302740097046,23.39447021484375,4.277831554412842,2.5072853565216064,23.26934814453125,4.273897647857666,1.7867118120193481,298.02778601879254,298.02778601879254,298.02778601879254,3.2672319610795926,0.09697667509317398,1.6047592163085938,0.1254979372024536
81_k1,True,2.402296543121338,289.2658629862126,289.2658629862126,289.2658629862126,3.708854010100331,3.1931071281433105,84.68420500867069,84.68420500867069,84.68420500867069,4.849866389371049,3.4158183684501155,3.4413484895687443,1.8564682006835938,23.26934814453125,3.4539473056793213,1.908713459968567,23.46955108642578,3.4733664989471436,2.4474034309387207,291.42786099691875,291.42786099691875,291.42786099691875,3.7776768723893075,0.1651749163866043,1.7330169677734375,0.20363980531692505
296_k0,True,3.427854299545288,325.077010988025,325.077010988025,325.077010988025,4.974613017457933,3.7577579021453857,81.37217900366522,81.37217900366522,81.37217900366522,5.4116549072200515,3.994940469437136,3.473253124864288,1.748140573501587,23.21929931640625,3.4073779582977295,1.7009649276733398,23.06914520263672,3.3567872047424316,3.5787110328674316,282.62617500149645,282.62617500149645,282.62617500149645,5.135340423740201,0.2729848027229309,1.550018310546875,0.3436061143875122
296_k1,True,3.193971872329712,293.15453200251795,293.15453200251795,293.15453200251795,4.748434310665987,4.431873321533203,81.09258598415181,81.09258598415181,81.09258598415181,6.127909689334898,3.6150596068031438,3.47000794960367,1.7732548713684082,21.236801147460938,3.3428659439086914,1.7678592205047607,21.84992218017578,3.401522159576416,3.1882169246673584,281.39191801892594,281.39191801892594,281.39191801892594,4.735850290007102,0.3803768455982208,2.909210205078125,0.49826422333717346
233_k0,True,1.3109276294708252,296.5357239881996,296.5357239881996,296.5357239881996,2.3571121783551368,3.090935230255127,74.08785002189688,74.08785002189688,74.08785002189688,4.8311284177022324,4.002487909968471,3.9081149597957765,2.8504014015197754,21.99304962158203,4.543642044067383,2.833420991897583,21.91796875,4.528170585632324,1.2921743392944336,289.54383500968106,289.54383500968106,289.54383500968106,2.3479275919522693,0.05677418410778046,1.0635833740234375,0.07524147629737854
233_k1,True,1.6635090112686157,309.3938620004337,309.3938620004337,309.3938620004337,3.130229541539574,2.709630012512207,75.59649899485521,75.59649899485521,75.59649899485521,4.576081636901051,4.092700933431981,4.060684252493555,2.2484242916107178,24.7208251953125,4.042215824127197,2.209784746170044,24.7958984375,3.9999637603759766,1.6393532752990723,306.97351301205344,306.97351301205344,306.97351301205344,3.1043396630607845,0.10314501076936722,1.1324005126953125,0.16848990321159363
